,subID,stimset_rows,subtlety,responses,movie,trial_num
1,15024,34,120,The dots approached each other but the gray dot retreated,987cd79f-7d6a-426b-8983-8bee8675f0ba,1
4,15025,37,120,both dots moved inwards and slightly down,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,4
4,15026,27,120,"the grey dot was moving at a slow pace, the black dot was moving faster and seemed to be gradually moving closer to the grey dot",87b8564c-7590-4001-b1e8-6f26c4e4bf8a,4
6,15027,35,120,"The dots were doing their own thing, but when grey dot got too close to black dot it started to move away from black dot.",7da9ad01-3df5-45e9-8edf-4af0795536e1,6
3,15028,30,120,It was like a wary fight between the two dots. It looked as if the black one was on defense while the grey one was looking for an opening to attack.,6480385b-e9eb-45a9-88e3-aade6c90476d,3
4,15029,29,120,"the grey dot bounced slightly as it moved down to the left before moving up, the black dot moved to the left somewhat bouncing as it went",3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,4
2,15030,40,120,moving near each other,9996b324-9da6-4bd7-a5d5-305513d257ce,2
5,15031,41,120,moving in zig zag,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,5
2,15032,39,120,Darker dot seemed to be moving faster with wider/longer paces across the screen,1bc0b0c8-e058-4a68-bdab-65b544a8848d,2
2,15033,45,120,They almost seemed to circle until the grey dot advanced toward the black dot then ran away,7da9ad01-3df5-45e9-8edf-4af0795536e1,2
2,15034,43,120,Both dots moving towards the left slowly and not fully,b7261f19-79df-4505-b935-0cb890ebda9c,2
2,15035,44,120,They moved upward and closer to each other though never made contact,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,2
6,15036,42,120,The black one is stalking the grey one.,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,6
1,15037,46,120,Moving towards each other then away again,6480385b-e9eb-45a9-88e3-aade6c90476d,1
6,15038,48,120,both dots are descending with a bit of distance between them,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,6
0,15039,47,120,"The darker dot appeared to be attempting to move closer to the grey dot, however the grey dot did not appear to be consciously moving toward it or away from it.",987cd79f-7d6a-426b-8983-8bee8675f0ba,0
1,15040,51,120,When they came close the black one moved away,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,1
1,15041,52,120,Grey dot was watching the black dot,9996b324-9da6-4bd7-a5d5-305513d257ce,1
1,15042,53,120,moving slightly to the left but mostly around the middle.,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,1
3,15043,56,120,"Movements not related, black heading towards grey slightly",7da9ad01-3df5-45e9-8edf-4af0795536e1,3
5,15044,54,120,both doing their own thing but repel each other when they get close,b7261f19-79df-4505-b935-0cb890ebda9c,5
1,15045,50,120,The black dot appeared to still want to chase they grey dot but the grey dot was watching for it,a68cb7dc-2812-45a9-b8f6-862ff43630fb,1
4,15046,57,120,they were drifting to top right of screen,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,4
4,15047,61,120,Dots were hovering in sync almost ,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,4
4,15048,60,120,"Grey dot was following a back and forth jagged pattern, black dot was moving around slowly and smoothly in curved paths",a68cb7dc-2812-45a9-b8f6-862ff43630fb,4
6,15049,58,120,"I paid a lot of attention to gray on the left. Both appear to be making patterns, maybe a letter or number at times? Since I was focusing on grey it seems it drew a lowercase letter q. Unsure what black drew. ",987cd79f-7d6a-426b-8983-8bee8675f0ba,6
3,15050,62,120,"Initially they went towards each other, but ultimately black 'ran away'",5d69d5c8-83dd-43c4-be85-f1c2ff45960d,3
3,15051,64,120,both dots were floating towards each other. the grey dot was moving faster than the black dot.,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,3
0,15052,69,120,the grey dot was following the black dot without getting to close,9996b324-9da6-4bd7-a5d5-305513d257ce,0
4,15053,67,120,The dots both moved towards each other but they did not touch each other.,6480385b-e9eb-45a9-88e3-aade6c90476d,4
1,15054,70,120,The dark dot was chasing the light dot,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,1
