stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
e5de8a7b-b080-44aa-9279-c42f7862e210,chase,0,100.0,2.449,1,309,23
5dbc75c6-6973-4ae1-aaf0-d3b84feb4723,wander,180,0.0,2.542,1,309,24
2437aa32-b54d-48e7-b20d-fafb63156eb0,chase,0,100.0,3.477,1,309,25
398e7f33-6d63-47e3-9a9a-74e474cd8a1d,chase,30,100.0,3.682,1,309,26
4e913eda-699f-4aa1-831d-c82fb169914c,chase,60,100.0,2.557,1,309,27
c40a4196-baf2-4992-afe5-aeca6b69a170,chase,30,100.0,2.356,1,309,28
18c4991b-f4d6-47a6-b29a-81f425410c0e,chase,120,0.0,2.712,1,309,29
b70d0259-cb69-48f1-b026-46452cf6e70f,wander,180,0.0,2.424,0,309,30
738dba2c-d7cb-488e-b971-0dc50c74bf4b,chase,30,100.0,2.566,1,309,31
6d712780-43b4-49f9-9bb8-c6ef920b78bd,chase,0,100.0,2.101,1,309,32
5ce017a9-f595-403c-a861-53e49993751a,wander,180,0.0,2.754,1,309,33
2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,wander,180,0.0,7.121,1,309,34
184c8795-2f00-4c7d-bc10-bd7de3066a20,chase,60,100.0,3.195,1,309,35
7ef8daac-db75-4ee8-a071-f88ace7368fa,chase,60,100.0,3.067,1,309,36
46975d67-ead1-4d29-93d2-9fbd40dad49d,wander,180,0.0,2.558,0,309,37
bc18f2bb-8e1a-4fcf-bc63-d56da485f828,chase,90,100.0,2.837,1,309,38
7da2bf99-2525-456c-889d-33e4d57cefac,chase,150,0.0,2.505,1,309,39
e4dd3e31-b4f2-4f66-9e70-0665b6bcd089,chase,30,100.0,3.462,1,309,40
f9e978d5-51e5-401a-8c9a-df747f2dec53,chase,0,100.0,2.252,1,309,41
7f76ce9f-1463-4e78-87a4-6a54cd80ee88,chase,90,0.0,2.28,1,309,42
21ca5095-0a92-499b-9d26-d8a5f4a0841a,wander,180,0.0,2.283,0,309,43
93865245-a3be-41b2-a17e-29b2b6043800,chase,90,0.0,2.931,1,309,44
dbce0a8f-ba45-4265-a60e-b98acd0e16d0,chase,150,0.0,2.287,1,309,45
6164475a-8bff-4ee0-8fef-043a34cd7da5,chase,120,0.0,2.516,1,309,46
24724e9a-8a79-4ab8-a58f-e007c5d00714,chase,120,100.0,2.457,1,309,47
116d4cf9-2d22-4e06-8fbf-248789f8212c,chase,150,0.0,2.712,0,309,48
cd35aaa0-2e49-4c68-9db3-f26fb9be29c5,chase,0,100.0,2.353,1,309,49
3dbf8de7-1bf7-4a43-a5e3-4366a94ea690,chase,90,100.0,2.189,1,309,50
c1b6f573-136b-414a-a6ec-8628f66a51e1,chase,150,0.0,2.517,1,309,51
0ea90462-f5e2-47a7-bd4b-2ea1c0bb7293,chase,60,100.0,2.518,1,309,52
9d561139-a905-406b-83a0-38ea62293ed9,chase,90,100.0,3.713,1,309,53
2b3090fe-a6e0-4e32-8e43-767b0d526444,chase,60,100.0,2.905,1,309,54
dad72227-6303-403d-8c8f-61b79d192ff4,chase,120,0.0,2.858,0,309,55
1c695094-312c-450a-ac7f-f994dabb958d,wander,180,0.0,2.201,1,309,56
12ba80f8-98cb-4c76-836d-72c2d6364a8e,chase,120,0.0,2.946,1,309,57
c5cf3c4d-84e7-4c90-a33b-9d7db4b01300,chase,0,100.0,3.445,1,309,58
58ff2cb6-e661-4be4-945c-d3f9ab5180c6,chase,150,0.0,2.981,1,309,59
4b3782e4-fafc-4dd1-96aa-9b339f19d004,chase,0,100.0,2.136,1,309,60
68be0cf8-ea92-4566-b84a-cbd60b2e5547,wander,180,0.0,2.402,0,309,61
496c052f-24cd-4731-b1a3-dc6a8076719b,chase,120,0.0,2.787,0,309,62
2383c97c-89dc-495f-8ec8-8a517a45ca6c,chase,90,0.0,4.733,1,309,63
884bc951-67a6-42bd-8ea7-ece0c8745d3f,chase,0,100.0,2.661,1,309,64
86edbcec-0b0a-41d9-9c9e-d5df43732237,chase,30,100.0,1.982,1,309,65
a680f7c6-9605-4481-a14d-c24d8d7b99bc,chase,30,100.0,1.853,1,309,66
411043c2-72c5-48c5-8cb7-febcebc40f98,chase,30,100.0,2.386,1,309,67
f4c4b671-d1de-4b8d-adad-ab6e05900d81,chase,90,0.0,2.725,1,309,68
599df54c-434d-46db-a56a-5698a4ae9a9e,chase,150,0.0,2.784,0,309,69
c8a1258a-1920-42bf-98e8-6c2dcc03a258,chase,60,100.0,2.973,1,309,70
64673dfa-0706-4fb2-a297-b988740292d5,chase,90,0.0,2.479,1,309,71
ae7d3eb8-dc5d-447b-b5c5-9b30fb3b8314,chase,60,100.0,3.628,1,309,72
45126725-a7eb-4318-86c4-1af84082e8b8,chase,30,100.0,3.274,1,309,73
64e6dcf6-35e5-46ef-8d1c-80a6786a24f6,chase,90,100.0,2.286,1,309,74
