,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
75,12,150,35.416666666666664,3.6425,0.75,50.25,24.083333333333332,11.333333333333332,28.0,29.0,17.0,22.0,30.0,12.0,35.0,60.0,20.0,31.0,29.0,33.0,70.0,2.0
76,12,180,24.083333333333332,4.155,0.5,42.833333333333336,24.083333333333332,0.0,28.0,29.0,17.0,22.0,30.0,12.0,35.0,60.0,20.0,31.0,29.0,33.0,70.0,2.0
77,13,0,88.75,2.8425,1.0,45.0,17.25,71.5,10.0,22.0,6.0,19.0,14.0,20.0,6.0,32.0,31.0,41.0,38.0,31.0,44.0,4.0
78,13,30,87.0,3.7578333333333336,1.0,28.583333333333332,17.25,69.75,10.0,22.0,6.0,19.0,14.0,20.0,6.0,32.0,31.0,41.0,38.0,31.0,44.0,4.0
79,13,60,79.25,3.185416666666667,1.0,34.083333333333336,17.25,62.0,10.0,22.0,6.0,19.0,14.0,20.0,6.0,32.0,31.0,41.0,38.0,31.0,44.0,4.0
80,13,90,72.16666666666667,2.87025,1.0,52.833333333333336,17.25,54.91666666666667,10.0,22.0,6.0,19.0,14.0,20.0,6.0,32.0,31.0,41.0,38.0,31.0,44.0,4.0
81,13,120,32.666666666666664,3.078333333333333,0.8333333333333334,38.583333333333336,17.25,15.416666666666664,10.0,22.0,6.0,19.0,14.0,20.0,6.0,32.0,31.0,41.0,38.0,31.0,44.0,4.0
82,13,150,18.083333333333332,3.174,0.4166666666666667,38.333333333333336,17.25,0.8333333333333321,10.0,22.0,6.0,19.0,14.0,20.0,6.0,32.0,31.0,41.0,38.0,31.0,44.0,4.0
83,13,180,17.25,2.810166666666667,0.75,53.083333333333336,17.25,0.0,10.0,22.0,6.0,19.0,14.0,20.0,6.0,32.0,31.0,41.0,38.0,31.0,44.0,4.0
84,14,0,91.5,3.23025,1.0,35.583333333333336,30.166666666666668,61.33333333333333,4.0,9.0,3.0,21.0,0.0,37.0,0.0,44.0,50.0,50.0,46.0,60.0,60.0,2.0
85,14,30,96.33333333333333,2.29825,1.0,51.25,30.166666666666668,66.16666666666666,4.0,9.0,3.0,21.0,0.0,37.0,0.0,44.0,50.0,50.0,46.0,60.0,60.0,2.0
86,14,60,91.5,2.65375,0.9166666666666666,37.916666666666664,30.166666666666668,61.33333333333333,4.0,9.0,3.0,21.0,0.0,37.0,0.0,44.0,50.0,50.0,46.0,60.0,60.0,2.0
87,14,90,80.08333333333333,2.7929166666666667,0.9166666666666666,35.5,30.166666666666668,49.91666666666666,4.0,9.0,3.0,21.0,0.0,37.0,0.0,44.0,50.0,50.0,46.0,60.0,60.0,2.0
88,14,120,38.75,3.1011666666666664,0.8333333333333334,43.333333333333336,30.166666666666668,8.583333333333332,4.0,9.0,3.0,21.0,0.0,37.0,0.0,44.0,50.0,50.0,46.0,60.0,60.0,2.0
89,14,150,22.666666666666668,3.4836666666666667,0.4166666666666667,36.666666666666664,30.166666666666668,-7.5,4.0,9.0,3.0,21.0,0.0,37.0,0.0,44.0,50.0,50.0,46.0,60.0,60.0,2.0
90,14,180,30.166666666666668,3.1285833333333333,0.5833333333333334,50.25,30.166666666666668,0.0,4.0,9.0,3.0,21.0,0.0,37.0,0.0,44.0,50.0,50.0,46.0,60.0,60.0,2.0
91,15,0,80.66666666666667,4.580666666666667,0.8333333333333334,50.416666666666664,53.5,27.16666666666667,14.444444444444445,15.0,14.0,15.0,16.0,21.0,15.0,38.0,42.0,35.0,38.0,40.0,52.0,1.0
92,15,30,70.16666666666667,5.633416666666666,0.9166666666666666,53.833333333333336,53.5,16.66666666666667,14.444444444444445,15.0,14.0,15.0,16.0,21.0,15.0,38.0,42.0,35.0,38.0,40.0,52.0,1.0
