,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180
385,90,0,100.0,3.6485000000000003,1.0,38.0,18.5,81.5
386,90,30,97.0,3.5315,1.0,42.0,18.5,78.5
387,90,60,86.0,3.741,1.0,44.0,18.5,67.5
388,90,90,70.0,4.0745000000000005,1.0,44.5,18.5,51.5
389,90,120,37.0,3.823,1.0,56.0,18.5,18.5
390,90,150,25.0,3.9669999999999996,1.0,35.5,18.5,6.5
391,90,180,18.5,3.825,0.5,20.0,18.5,0.0
392,92,0,88.5,2.5015,1.0,49.0,9.5,79.0
393,92,30,78.0,2.303,1.0,17.0,9.5,68.5
394,92,60,71.5,2.329,1.0,50.0,9.5,62.0
395,92,90,67.0,2.451,1.0,55.5,9.5,57.5
396,92,120,38.5,3.121,1.0,22.5,9.5,29.0
397,92,150,32.5,2.5225,1.0,49.0,9.5,23.0
398,92,180,9.5,2.4764999999999997,0.5,41.5,9.5,0.0
399,93,0,90.0,2.8970000000000002,1.0,39.5,22.5,67.5
400,93,30,88.0,2.9215,1.0,68.0,22.5,65.5
401,93,60,88.5,2.9939999999999998,1.0,44.0,22.5,66.0
402,93,90,79.0,2.7190000000000003,1.0,35.0,22.5,56.5
403,93,120,74.5,2.7714999999999996,1.0,54.0,22.5,52.0
404,93,150,22.5,3.074,1.0,29.0,22.5,0.0
405,93,180,22.5,3.133,1.0,35.0,22.5,0.0
406,94,0,93.5,3.5564999999999998,1.0,36.5,15.5,78.0
407,94,30,90.5,3.5375,1.0,32.0,15.5,75.0
408,94,60,83.0,3.6985,1.0,45.5,15.5,67.5
409,94,90,71.0,3.4615,1.0,42.5,15.5,55.5
410,94,120,58.5,3.7424999999999997,1.0,38.5,15.5,43.0
411,94,150,6.0,4.3,1.0,54.0,15.5,-9.5
412,94,180,15.5,4.3065,0.5,62.5,15.5,0.0
413,96,0,100.0,1.9765000000000001,1.0,38.5,29.5,70.5
414,96,30,100.0,2.127,1.0,51.5,29.5,70.5
415,96,60,89.0,2.036,1.0,43.0,29.5,59.5
416,96,90,68.0,1.9465,1.0,45.0,29.5,38.5
417,96,120,52.0,2.403,1.0,38.5,29.5,22.5
418,96,150,19.0,2.4995,0.0,41.0,29.5,-10.5
419,96,180,29.5,2.4835000000000003,0.5,21.0,29.5,0.0
420,98,0,85.0,2.8215,1.0,50.0,54.5,30.5
421,98,30,84.0,2.8145,1.0,34.5,54.5,29.5
422,98,60,76.0,2.7705,1.0,44.0,54.5,21.5
423,98,90,72.0,3.1995,1.0,26.0,54.5,17.5
424,98,120,65.0,3.0285,1.0,46.0,54.5,10.5
425,98,150,60.5,2.86,1.0,55.0,54.5,6.0
426,98,180,54.5,3.1935000000000002,0.5,34.5,54.5,0.0
427,101,0,96.0,2.3885,1.0,58.5,17.0,79.0
428,101,30,82.0,3.558,1.0,21.5,17.0,65.0
429,101,60,85.0,3.0774999999999997,1.0,47.0,17.0,68.0
430,101,90,73.0,3.0555000000000003,1.0,54.5,17.0,56.0
431,101,120,25.0,2.9725,1.0,41.0,17.0,8.0
432,101,150,7.0,2.747,1.0,50.0,17.0,-10.0
433,101,180,17.0,3.053,1.0,26.0,17.0,0.0
434,102,0,97.5,2.172,1.0,44.5,5.5,92.0
435,102,30,92.0,2.2874999999999996,1.0,43.5,5.5,86.5
436,102,60,77.5,2.4145000000000003,1.0,50.5,5.5,72.0
