,stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
83,07cdb9d7-6577-428d-9498-8a7243527554,chase,0,grey,95.0,grey,2.931,1,1,83,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
84,49e5ac90-6e7f-4243-9552-8c4c10545895,chase,0,black,100.0,black,2.921,1,2,0,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
85,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,chase,120,grey,34.0,grey,4.34,1,2,1,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
86,cca827ad-af9d-4cfd-ae71-7e028e3f8520,chase,60,black,86.0,black,3.188,1,2,2,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
87,94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,chase,120,black,55.0,black,3.211,1,2,3,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
88,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,chase,120,black,58.0,black,4.119,1,2,4,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
89,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,chase,60,grey,100.0,grey,2.986,1,2,5,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
90,0ea53c63-8350-4a50-8dec-ccbbf0e401dc,wander,180,black,34.0,grey,3.147,0,2,6,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
91,75182d69-6502-4d35-9298-e331061c7829,chase,0,grey,100.0,grey,2.73,1,2,7,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
92,9996b324-9da6-4bd7-a5d5-305513d257ce,chase,120,grey,19.0,grey,4.331,1,2,8,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
93,7da9ad01-3df5-45e9-8edf-4af0795536e1,chase,120,black,58.0,black,2.807,1,2,9,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
94,14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,chase,150,black,18.0,grey,2.749,0,2,10,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
95,72e764e1-0b34-4efd-96db-5df7934b2395,chase,0,grey,100.0,grey,2.954,1,2,11,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
96,802575f0-631d-4eeb-9e49-3b401b11b953,wander,180,black,0.0,grey,2.741,0,2,12,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
97,124f53c2-90c6-4716-8221-e86088f8d257,wander,180,grey,9.0,grey,2.929,1,2,13,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
98,4270e833-4dad-483f-85cb-3dee1fccc571,chase,150,grey,0.0,grey,3.88,1,2,14,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
99,816e0a69-dfb6-4a6f-8ffe-97d092e27835,chase,0,black,100.0,black,2.31,1,2,15,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
100,99fed5db-be9d-4d5f-8fef-1baaad5f1b70,chase,150,grey,0.0,grey,2.817,1,2,16,7.0,14.0,9.0,21.0,12.0,26.0,5.0,28.0,34.0,40.0,44.0,36.0,41.0,4.0
