Participant ID,1_PANAS_qn0,1_PANAS_qn1,1_PANAS_qn2,1_PANAS_qn3,1_PANAS_qn4,1_PANAS_qn5,1_PANAS_qn6,1_PANAS_qn7,1_PANAS_qn8,1_PANAS_qn9,2_PANAS_qn10,2_PANAS_qn11,2_PANAS_qn12,2_PANAS_qn13,2_PANAS_qn14,2_PANAS_qn15,2_PANAS_qn16,2_PANAS_qn17,2_PANAS_qn18,2_PANAS_qn19,2_PANAS_qn20
90,Quite a bit (4),Quite a bit (4),Moderately (3),Extremely (5),Moderately (3),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),Extremely (5),Extremely (5),Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),Moderately (3),Moderately (3),Extremely (5),Moderately (3),Quite a bit (4)
61,Moderately (3),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) 
181,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Moderately (3)
346,Moderately (3),A little (2),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3)
257,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),A little (2),A little (2),A little (2),Moderately (3),Quite a bit (4),A little (2),Quite a bit (4),A little (2),A little (2),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),A little (2)
342,Moderately (3),A little (2),A little (2),Extremely (5),Quite a bit (4),Moderately (3),A little (2),Moderately (3),Moderately (3),A little (2),A little (2),Quite a bit (4),Quite a bit (4),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),A little (2),Moderately (3),A little (2),Quite a bit (4)
28,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Extremely (5),Quite a bit (4),Moderately (3),A little (2),A little (2)
127,Moderately (3),Quite a bit (4),A little (2),Extremely (5),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Quite a bit (4),Moderately (3),A little (2),A little (2),Extremely (5),A little (2),Moderately (3),Extremely (5),Moderately (3),Moderately (3)
180,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
185,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Quite a bit (4),A little (2),A little (2),A little (2)
217,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),A little (2),Quite a bit (4),Moderately (3),A little (2),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
215,Quite a bit (4),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
5,A little (2),Quite a bit (4),A little (2),Extremely (5),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2)
277,A little (2),Quite a bit (4),A little (2),Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2)
49,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),A little (2),A little (2),A little (2),Quite a bit (4),A little (2),A little (2),A little (2),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),A little (2),A little (2),Moderately (3)
175,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
285,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Extremely (5),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2)
94,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
136,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
75,Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),Quite a bit (4),A little (2),A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2),Moderately (3),A little (2),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),A little (2),Moderately (3),Moderately (3)
100,Extremely (5),Quite a bit (4),Extremely (5),Extremely (5),Quite a bit (4),Extremely (5),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Moderately (3),Extremely (5),Extremely (5),Moderately (3),A little (2),Quite a bit (4)
222,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
178,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
138,Extremely (5),A little (2),A little (2),Extremely (5),A little (2),Moderately (3),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2)
208,Quite a bit (4),Moderately (3),Moderately (3),Extremely (5),Moderately (3),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) 
323,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Quite a bit (4),Extremely (5),A little (2),Quite a bit (4),Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Moderately (3)
137,A little (2),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
206,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Quite a bit (4),A little (2),A little (2),A little (2),Extremely (5),Extremely (5),Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2),Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),Moderately (3)
43,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
129,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
266,Quite a bit (4),A little (2),Very slightly or not at all (1) ,Extremely (5),A little (2),Quite a bit (4),A little (2),A little (2),Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Quite a bit (4),Moderately (3),Quite a bit (4),A little (2),Moderately (3),Moderately (3)
267,Quite a bit (4),A little (2),A little (2),Extremely (5),A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Quite a bit (4),Extremely (5),A little (2),Moderately (3),A little (2)
263,Quite a bit (4),Quite a bit (4),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) 
123,Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),A little (2),Extremely (5),Very slightly or not at all (1) 
255,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2),A little (2),Quite a bit (4),A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2)
315,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
117,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
31,Quite a bit (4),Quite a bit (4),Moderately (3),Extremely (5),Quite a bit (4),A little (2),Extremely (5),Quite a bit (4),A little (2),Moderately (3),A little (2),Quite a bit (4),Moderately (3),A little (2),Moderately (3),Extremely (5),Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),Quite a bit (4)
287,Moderately (3),A little (2),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
258,A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),A little (2),A little (2),A little (2),Moderately (3),A little (2),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) 
44,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Extremely (5),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
322,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) 
282,Moderately (3),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),A little (2),A little (2),A little (2),Moderately (3),A little (2),Quite a bit (4),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),A little (2),A little (2)
2,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) 
295,Moderately (3),Moderately (3),A little (2),Extremely (5),A little (2),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),Quite a bit (4),A little (2),Moderately (3)
183,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),A little (2),Extremely (5),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
24,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2)
252,Quite a bit (4),Moderately (3),A little (2),Extremely (5),Quite a bit (4),Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),A little (2),Quite a bit (4),Moderately (3),A little (2),Moderately (3),Quite a bit (4),Quite a bit (4),Quite a bit (4),Moderately (3),Moderately (3),A little (2)
198,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
335,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Moderately (3),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
326,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
328,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Quite a bit (4),Quite a bit (4),Quite a bit (4),Quite a bit (4),A little (2)
219,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
78,Quite a bit (4),A little (2),A little (2),Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
301,Moderately (3),A little (2),A little (2),Extremely (5),Quite a bit (4),Moderately (3),Moderately (3),Moderately (3),A little (2),A little (2),A little (2),Moderately (3),A little (2),Quite a bit (4),Moderately (3),Moderately (3),Moderately (3),Moderately (3),Moderately (3),Moderately (3),Moderately (3)
275,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Moderately (3)
52,A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) 
33,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
321,Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),A little (2),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),A little (2),Moderately (3),A little (2)
140,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
115,Quite a bit (4),Moderately (3),Quite a bit (4),Extremely (5),A little (2),Extremely (5),A little (2),A little (2),Quite a bit (4),Quite a bit (4),A little (2),Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Extremely (5),Extremely (5),Moderately (3),Quite a bit (4),A little (2)
226,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),A little (2),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
89,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
302,Quite a bit (4),Quite a bit (4),A little (2),Extremely (5),Quite a bit (4),Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),A little (2),A little (2),Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),Moderately (3),Moderately (3),Moderately (3),A little (2)
347,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
177,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Moderately (3),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) 
300,Moderately (3),A little (2),Quite a bit (4),Extremely (5),A little (2),Quite a bit (4),A little (2),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Quite a bit (4),A little (2),Moderately (3),A little (2),Extremely (5),A little (2),Moderately (3),Moderately (3),Quite a bit (4),Moderately (3),A little (2)
169,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Quite a bit (4),Quite a bit (4),Quite a bit (4),Quite a bit (4),Moderately (3),Moderately (3)
325,Moderately (3),Very slightly or not at all (1) ,Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) 
23,Quite a bit (4),A little (2),Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Moderately (3),A little (2),Moderately (3),Very slightly or not at all (1) 
40,Moderately (3),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2)
18,Quite a bit (4),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) 
338,Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Extremely (5),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
128,Extremely (5),A little (2),Moderately (3),Extremely (5),A little (2),Quite a bit (4),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,A little (2),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) 
13,A little (2),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,A little (2),Moderately (3),Moderately (3),Moderately (3),A little (2),Very slightly or not at all (1) ,A little (2)
