stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind
94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,chase,120,black,52.0,black,2.92,1,230,70
17e4063d-b2f1-4406-8a8f-be7151fd23c1,chase,30,black,100.0,black,3.132,1,230,71
df2b4818-3777-48b6-924c-bcd056405d46,mimic,150,black,0.0,grey,4.18,0,230,72
c709d720-a41a-45e2-b3d2-08102ef0dd28,mimic,120,grey,0.0,black,3.992,0,230,73
a7fd07d1-e946-43a4-882d-0b3b7882ed21,chase,60,grey,100.0,grey,2.931,1,230,74
392a11d5-d101-452b-abbe-2fef6327567b,mimic,60,black,0.0,grey,3.461,0,230,75
5ce017a9-f595-403c-a861-53e49993751a,wander,180,grey,0.0,grey,3.598,1,230,76
3a9ac477-b8f9-4d19-bc88-0a1c0b7de6a8,mimic,60,grey,66.0,grey,4.24,1,230,77
b4c4be26-aec9-443f-9bbd-25df99c2840d,mimic,150,black,0.0,grey,4.751,0,230,78
4270e833-4dad-483f-85cb-3dee1fccc571,chase,150,grey,5.0,grey,3.919,1,230,79
802575f0-631d-4eeb-9e49-3b401b11b953,wander,180,black,0.0,grey,3.489,0,230,80
14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,chase,150,black,15.0,black,3.675,1,230,81
1841b8a9-ff1d-481d-80de-2134f2461e8b,chase,90,grey,72.0,grey,3.42,1,230,82
7da9ad01-3df5-45e9-8edf-4af0795536e1,chase,120,black,71.0,black,2.695,1,230,83
64673679-e709-4919-9505-54ee39e19ae5,mimic,0,black,23.0,black,3.139,1,101,0
c03f6639-c5f0-4ded-bb0a-19a112cefe1c,mimic,60,grey,0.0,black,2.593,0,101,1
8d9b8961-4fb1-4413-b875-966e01b9963a,chase,60,black,88.0,black,2.861,1,101,2
c7f85153-52e8-4379-839f-9596d6a3ee62,chase,90,grey,81.0,grey,2.843,1,101,3
2cf66fb7-ab1d-466b-be40-d9f856dc213f,wander,180,grey,80.0,grey,2.243,1,101,4
4284d8dd-a24d-4019-8d51-ef5ea25d433a,mimic,120,black,45.0,grey,7.893,0,101,5
804f9681-f112-463c-a764-a40a823d6845,chase,60,black,91.0,black,2.896,1,101,6
4a6f7598-dc16-47d6-987e-a48c1f938428,wander,180,grey,54.0,grey,4.177,1,101,7
07cdb9d7-6577-428d-9498-8a7243527554,chase,0,grey,98.0,grey,3.61,1,101,8
99fed5db-be9d-4d5f-8fef-1baaad5f1b70,chase,150,grey,44.0,grey,2.676,1,101,9
1c695094-312c-450a-ac7f-f994dabb958d,wander,180,black,43.0,grey,6.443,0,101,10
55f379fa-f719-4bdf-85a4-a15f0d03283d,mimic,150,grey,59.0,grey,3.21,1,101,11
866a8867-d05f-4a43-a450-97e5fd6015f8,mimic,90,black,24.0,black,2.243,1,101,12
47505654-05f0-4b92-a9a3-978c80bda46b,chase,0,black,97.0,black,4.009,1,101,13
