,subID,stimset_rows,subtlety,directness,responses,movie,trial_num,similarity_chasing,similarity_moveInd,similarity_chase_moveInd
5,15051,64,150,0.17,the dots were both making circles and floating around the centre of the screen,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,5,0.08834098279476166,0.015131721273064613,0.07320926152169704
4,15052,69,150,0.17,it looked like the black dot could not decide whether to chase or run away from the grey dot,14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,4,0.3798835575580597,0.1040729507803917,0.275810606777668
1,15053,67,150,0.17,"The dots were far apart from each other at first, then moved closer together to each other but they did not touch each other.",5744f837-93bf-4eba-bddf-e630dedf974e,1,0.09848673641681671,0.1335032731294632,-0.035016536712646484
5,15054,70,150,0.17,The dots movements were seemingly unrelated. The dark dot appeared confused,4cd79935-2124-4c73-9bff-ce0554f08119,5,0.16152310371398926,0.13997147977352142,0.021551623940467834
3,15055,71,150,0.17,moving quickly left to right. dots didnt really move from where started,275adee0-f228-423e-816a-e5e70b874bf3,3,0.2335396707057953,0.3384976089000702,-0.1049579381942749
5,15056,65,150,0.17,the black dot was moving toward the upper left side while the white was in the middle,4270e833-4dad-483f-85cb-3dee1fccc571,5,0.1627332866191864,0.1721380650997162,-0.009404778480529785
2,15057,68,150,0.17,Both dots were staying a certain distance away from each other but moving the same way ,9c46112a-3307-42b7-8386-bdf38ba679af,2,0.14679469168186188,0.29146313667297363,-0.14466844499111176
6,15058,73,150,0.17,the grey dot was moving in the bottom right section of the square and the black was moving in the top left section,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,6,0.15124718844890594,0.18569497764110565,-0.03444778919219971
5,15059,74,150,0.17,they were aimlessly going in different directions,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,5,0.21923573315143585,0.2516857385635376,-0.032450005412101746
1,15000,0,120,0.33,moving towards the left,b7261f19-79df-4505-b935-0cb890ebda9c,1,0.2572079300880432,0.47263503074645996,-0.21542710065841675
3,15001,1,120,0.33,A grey dot moved in circles while the black dot appeared to bounce around.,6480385b-e9eb-45a9-88e3-aade6c90476d,3,0.2427220344543457,0.12500472366809845,0.11771731078624725
5,15002,2,120,0.33,the dots were on their own separate paths but looked like they were about to collide,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,5,0.20770971477031708,0.1575528234243393,0.05015689134597778
5,15003,3,120,0.33,Both had completely random movements,7da9ad01-3df5-45e9-8edf-4af0795536e1,5,0.19198517501354218,0.3766614496707916,-0.18467627465724945
0,15004,6,120,0.33,"Black dot is moving on the left, grey on the right",5d69d5c8-83dd-43c4-be85-f1c2ff45960d,0,0.14759069681167603,0.16896788775920868,-0.021377190947532654
0,15005,11,120,0.33,"Black dot was minding its business, the grey dot was trying to spy on the black one",a68cb7dc-2812-45a9-b8f6-862ff43630fb,0,0.21079911291599274,0.04516125097870827,0.16563786193728447
2,15006,12,120,0.33,Grey dot was slowly floating towards the black on again and the black one was moving to the left,b7261f19-79df-4505-b935-0cb890ebda9c,2,0.18140913546085358,0.17777830362319946,0.0036308318376541138
6,15007,13,120,0.33,light dot is unaware of black dot,94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,6,0.10016341507434845,0.005551948677748442,0.09461146639660001
4,15008,21,120,0.33,floating to the right top corner,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,4,0.07396383583545685,0.17414472997188568,-0.10018089413642883
2,15009,10,120,0.33,The grey dot seemed to be following the black dot from a distance.,1bc0b0c8-e058-4a68-bdab-65b544a8848d,2,0.18427710235118866,0.08998262137174606,0.0942944809794426
0,15010,17,120,0.33,Moving like incets on water or small cells,9996b324-9da6-4bd7-a5d5-305513d257ce,0,0.06881951540708542,0.39612919092178345,-0.32730967551469803
2,15011,15,120,0.33,The black dot was moving closer to the grey dot whilst the grey dot moved randomly and then moved away from the black dot,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,2,0.16399571299552917,0.23559340834617615,-0.07159769535064697
