,index,sub_ind,PID,month,date,stimset_rows,total_trials,nplanned_trialIDs,npresented_trialIDs,planned_trialIDs_all,presented_trialIDs_all,chargeSpeed,stim_dur,chargeSpeed_sorted,agent1_color,responses,agents_type,strategy,feedback
71,71,28071,63d9cfec2060a424e3495756,8,8,33,48,7,7,"['9d425f58-501f-43f3-955e-05126bd09bb5', 'c496efe1-6c3e-480d-856f-af132dbe7048', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9', '9f7e489f-4076-4332-b57e-13a42d4c75fd']","['7c45bceb-e7dc-4a58-a9f2-02aa015541c6', '9f7e489f-4076-4332-b57e-13a42d4c75fd', '8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', 'c496efe1-6c3e-480d-856f-af132dbe7048', '9d425f58-501f-43f3-955e-05126bd09bb5']","[4.0, 9.0, 7.75, 6.5, 5.25, 2.75, 1.5]","[8014, 8098, 8032, 8134, 8080, 8084, 8036]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'grey', 'black', 'grey']","['attraction', 'connected', 'clashed after distance', 'circular loop', 'slow joining', 'soft bounce', 'steady grouping']",something else (describe on the next page),I saw a relationship between two people. I measured the strength and the speed movement.,No.
72,72,28072,665b2789a73e2b0adcf613f2,8,8,21,48,7,7,"['e5e05e73-9cd0-4990-8da2-4962e0a03e5d', '0bad25fa-4a38-4561-9d35-56f1108797cd', '96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', '124d9b3a-acac-4627-93e0-f05b493598f3', 'e2c787c5-5358-4a21-bb35-c422b37ef982', '65eed33d-db39-4b87-b8a4-de20693d3821', '16718611-6bca-4e79-8071-94d68c181ba1']","['96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', '16718611-6bca-4e79-8071-94d68c181ba1', '124d9b3a-acac-4627-93e0-f05b493598f3', '0bad25fa-4a38-4561-9d35-56f1108797cd', 'e2c787c5-5358-4a21-bb35-c422b37ef982', 'e5e05e73-9cd0-4990-8da2-4962e0a03e5d', '65eed33d-db39-4b87-b8a4-de20693d3821']","[4.0, 9.0, 5.25, 2.75, 6.5, 1.5, 7.75]","[7987, 8084, 8058, 7997, 7920, 8032, 7824]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'black', 'grey', 'grey', 'black']","['getting together and bouncing away', 'Moving', 'Meeting and separating ', 'linked', 'bouncing in and back', 'Like magnets', 'going around and meeting each other']",magnets,No. I just thought they were like magnets.,"no, thank you."
73,73,28073,66114f15e42d3086f6e81768,8,8,35,48,7,7,"['15dfbaca-4429-4c18-90f4-8d4804129e6f', '8dc79a0d-b826-4ac2-8483-04346b06960d', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '5456278f-d454-4194-af69-2784112cffb9', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '6a57f963-5846-4eaa-a5d2-0e658499a4a9']","['8dc79a0d-b826-4ac2-8483-04346b06960d', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '5456278f-d454-4194-af69-2784112cffb9', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4', '6a57f963-5846-4eaa-a5d2-0e658499a4a9', '15dfbaca-4429-4c18-90f4-8d4804129e6f']","[2.75, 7.75, 5.25, 6.5, 4.0, 9.0, 1.5]","[8022, 8015, 7925, 8091, 8058, 8097, 8034]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'grey', 'grey', 'grey', 'black']","['the two dotsmoved similar to each other, and clashed with each other', 'the two dots clashed with one another after mover dissimilar', 'the black dot seemed to chase the grey dot, and clashed with it twice', 'the two dots moved apart from each other before clashing with each other twice', 'the two dots clashed with each other twice', 'the two dots nodded each other after moving in a dissimilar manner', 'the two dots gently nodded each other in a bromance']",magnets,my instincts,none
74,74,28074,6658b5ca5f6a7ef6d4527b29,8,8,38,48,7,7,"['7e595f18-f375-4ca5-b922-61b8d693804d', '112b96b3-6518-4053-ad9f-ff77320acc23', '114b2369-dce5-4979-8319-c64c85175e6a', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', 'd80f638e-7e4b-4e80-bc19-a4b764fd7614', '534a6ddb-dbec-42ac-b559-3f4cbdd66423', '87da47db-3d5c-48b2-b3f2-123123d766f0']","['112b96b3-6518-4053-ad9f-ff77320acc23', 'd80f638e-7e4b-4e80-bc19-a4b764fd7614', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', '114b2369-dce5-4979-8319-c64c85175e6a', '534a6ddb-dbec-42ac-b559-3f4cbdd66423', '87da47db-3d5c-48b2-b3f2-123123d766f0', '7e595f18-f375-4ca5-b922-61b8d693804d']","[2.75, 6.5, 5.25, 4.0, 7.75, 9.0, 1.5]","[8106, 8118, 8144, 8163, 7920, 8116, 8075]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'black', 'grey', 'black', 'grey', 'black']","['kiss and makeup', 'a fight', 'running towards each other', 'attraction', 'anger', 'fighting', 'friendship']",animals,"I tried to imagine the balls were creatures, either humans or animals - I didn't think of a particular species, but I knew they were not inanimate objects for sure. This allowed me to imagine the relationships they had, and perhaps what was going on",NA
75,75,28075,665e2cc90c49a5f5e06aa5f9,8,8,30,48,7,7,"['50919f52-6a9c-4824-b24f-2f1aebd58e1b', '215ead11-5650-429d-b541-0b107fbb996a', '48fe3ca9-b1df-491d-bef9-6d9c5edee227', '9ed3a785-369e-4eb1-b5ca-50d2602a44d4', '7c59d616-cf70-400a-8ebd-9b3cdfb854ec', '8aeee0c2-7419-4cbe-aa42-af10b66f80b4', '7d40f846-95bc-4c08-b7a1-b4a410852b77']","['9ed3a785-369e-4eb1-b5ca-50d2602a44d4', '215ead11-5650-429d-b541-0b107fbb996a', '50919f52-6a9c-4824-b24f-2f1aebd58e1b', '7c59d616-cf70-400a-8ebd-9b3cdfb854ec', '8aeee0c2-7419-4cbe-aa42-af10b66f80b4', '7d40f846-95bc-4c08-b7a1-b4a410852b77', '48fe3ca9-b1df-491d-bef9-6d9c5edee227']","[5.25, 2.75, 1.5, 6.5, 7.75, 9.0, 4.0]","[8622, 8213, 8165, 8140, 8080, 8305, 8138]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'black', 'black', 'grey']","['they kissed each otehr', 'they came together and separated', 'they roamed about and kissed each other', 'attraction', 'they kept coming to each other no matter how far they went away', 'they always found a way to come back together', 'they went apart and came back to each other']",magnets,"No, i noticed how the dots were attracted to each other and suddenly repelled.","I enjoyed the task. Apart from magnets, humans can also be like the dots. There are people in our lives that no matter how far we go away from them, we find ourselves coming back to them."
76,76,28076,6658cde9512e51fc8120daaf,8,8,31,48,7,7,"['95aaf072-b6be-4da4-9857-deaf20ab49f2', '3fd185a3-34a1-4f1a-9d01-aee3deee3988', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '13e24563-ab7e-41df-adf6-e8e88b4d9e08', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', '3322caf5-0aeb-4230-89db-c56b23e94819']","['13e24563-ab7e-41df-adf6-e8e88b4d9e08', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', '3fd185a3-34a1-4f1a-9d01-aee3deee3988', '95aaf072-b6be-4da4-9857-deaf20ab49f2', '3322caf5-0aeb-4230-89db-c56b23e94819', '7413c064-c0e5-4104-89aa-79d64ef9d6d9']","[6.5, 5.25, 7.75, 2.75, 1.5, 9.0, 4.0]","[8246, 8291, 8280, 8264, 8299, 8222, 8346]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'grey', 'grey', 'black']","['bouncing off at the center', 'drifting apart, then coming together', 'white going farther off from black', 'slow paced but coming together fast', 'white steering close to the corner', 'both dots steering close to the center ', 'white dot steering closer to the black dot']",balls,focusing more on the center than the individual dots,none
77,77,28077,669dc5dde371f3230bb7db68,8,8,39,48,7,7,"['d3cc8306-21ab-4f88-ae4f-3970e4cd53ea', '32110051-52cf-4952-a6e5-4c5fe75760b7', '68382d9c-6cc5-4669-84bf-c8058e3c1472', '5f5a825b-b433-4986-b5d6-5239eb407d32', 'd98f2d5f-eb3b-4ebd-b714-878343382f2a', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '5b2465b2-47b6-4cc7-b06f-c362ff7454f8']","['5b2465b2-47b6-4cc7-b06f-c362ff7454f8', 'd3cc8306-21ab-4f88-ae4f-3970e4cd53ea', '32110051-52cf-4952-a6e5-4c5fe75760b7', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', 'd98f2d5f-eb3b-4ebd-b714-878343382f2a', '68382d9c-6cc5-4669-84bf-c8058e3c1472', '5f5a825b-b433-4986-b5d6-5239eb407d32']","[9.0, 1.5, 2.75, 7.75, 6.5, 4.0, 5.25]","[8270, 8748, 8542, 8564, 8472, 8644, 8547]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'grey', 'black', 'black', 'grey']","['Mirrored eachother and hit eachother 3 times.', 'slowly circled almost mirror like then hit eachother twice', 'circling before the first slow hit then the grey ball chased the black one before they hit again.', 'after the first hit they started to circle around eachother for about a half circle', 'black followed grey to the right of the screen before they hit then they re-centered and hit again', 'grey moved toward black first and they collided twice in the center', 'spun one direction then collided in the center then moved back the other direction before hitting again in the center']",animals,Not really a strategy just watched the movement patterns of each ball for each video.,It was an interesting task and while im a bit confused I think the lack of context made it interesting.
78,78,28078,66940cb3d46ba2b4049b3e5c,8,8,40,48,7,7,"['b3a507ff-2289-4ad3-8922-1a3d0532e154', '42a6675b-868f-488d-a671-17a04c97ab01', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed', 'ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8', '65eed33d-db39-4b87-b8a4-de20693d3821', '3322caf5-0aeb-4230-89db-c56b23e94819']","['42a6675b-868f-488d-a671-17a04c97ab01', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '65eed33d-db39-4b87-b8a4-de20693d3821', '1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed', 'ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8', '3322caf5-0aeb-4230-89db-c56b23e94819', 'b3a507ff-2289-4ad3-8922-1a3d0532e154']","[2.75, 4.0, 7.75, 5.25, 6.5, 9.0, 1.5]","[8358, 8594, 8265, 8500, 8510, 8383, 8409]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'black', 'grey', 'black', 'grey', 'grey']","['left dot pulled to the right after circling', 'both dots travelled rightwards', 'both dots had sharp movements', 'one dot circled, the other more straight lined', 'onne dot circled, the other pulled up, down, diagonal', 'one dot floated up, the other sharply pulled left', 'one dot floated up, the other down and left']",children,"I watched each dot, and tracked the movement direction, and movement type",Dots also moved a bit like a pinball inn a pinball machine
79,79,28079,668e9165d55b3b68f850838f,8,8,23,48,7,7,"['31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '39d4c0f1-9195-4761-98c6-457bad8a2291', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '453a1fa5-895a-4a5e-a4cf-25c0a35d74d2', '8649b489-429a-4894-9c74-827e94f04566']","['debe6245-13a4-4a31-b28a-e7b25ce8fa93', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '453a1fa5-895a-4a5e-a4cf-25c0a35d74d2', '8649b489-429a-4894-9c74-827e94f04566', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50', '39d4c0f1-9195-4761-98c6-457bad8a2291']","[6.5, 4.0, 7.75, 9.0, 2.75, 1.5, 5.25]","[8042, 8068, 8049, 8119, 8051, 8038, 8030]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'grey', 'black', 'grey', 'black']","['connecting', 'attack', 'joining', 'connect', 'pattern', 'coming close', 'link']",magnets,no,no
80,80,28080,65a9239a58dbce6f4fa1d6af,8,8,42,48,7,7,"['8ed7c0fc-1490-4e35-a000-7f7357a0772a', '215ead11-5650-429d-b541-0b107fbb996a', '96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', '8b72023d-88b1-4615-b871-cac794edf1d9', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9', '2abe0875-f8ff-4373-aad8-bca142211a09']","['2abe0875-f8ff-4373-aad8-bca142211a09', '96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', '8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9', '8ed7c0fc-1490-4e35-a000-7f7357a0772a', '8b72023d-88b1-4615-b871-cac794edf1d9', '215ead11-5650-429d-b541-0b107fbb996a', '187f8493-9a30-43cc-a2bd-5d96f6d2263d']","[9.0, 4.0, 7.75, 1.5, 5.25, 2.75, 6.5]","[8030, 8386, 8062, 8151, 8137, 8107, 8398]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'grey', 'black', 'grey', 'black']","['The moved away and collided with each other multiple times', 'They moved away and came back to hit each other gently', 'They hit each other and seperate. ', 'move away, attract and collide gently.', 'collide gently, move away and collide strongly', 'They collided gently', 'They collided aggressively like the black dot what preventing the white one from something.']",magnets,nil,nil
81,81,28081,665a041f9109fd24162c4492,8,8,43,48,7,7,"['fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '112b96b3-6518-4053-ad9f-ff77320acc23', '70326c05-1133-4c5d-8a4c-3e71e0da8479', '0a4312a1-7156-4c68-9698-0f1495558bee', 'e2c787c5-5358-4a21-bb35-c422b37ef982', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '059f8cfb-52c8-47fd-8d26-b0fec58eafae']","['e2c787c5-5358-4a21-bb35-c422b37ef982', '059f8cfb-52c8-47fd-8d26-b0fec58eafae', '112b96b3-6518-4053-ad9f-ff77320acc23', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '0a4312a1-7156-4c68-9698-0f1495558bee', 'fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '70326c05-1133-4c5d-8a4c-3e71e0da8479']","[6.5, 9.0, 2.75, 7.75, 5.25, 1.5, 4.0]","[7999, 8104, 8117, 7959, 8001, 8038, 8078]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'grey', 'black', 'black']","['the dots are colliding with each other again again', 'its like they are fighthing ', 'they are meeting each other nicely ', 'aggressive collisions', 'they are attracting each other', 'swimming toeards each other nicely ', 'the dots are meeting ']",adults,i imagined the dots being adults,its a very intersting and vell designed task 
82,82,28082,61747fcb910fdd6b80c00399,8,9,44,48,7,7,"['1f6c6525-a740-48c2-8dfc-9c4fb520c630', '0bad25fa-4a38-4561-9d35-56f1108797cd', 'fb491605-8f46-43ab-ba62-bfd86d95e4d6', '86e934a2-75ef-4084-a167-ce0ca737532d', 'd80f638e-7e4b-4e80-bc19-a4b764fd7614', '8b590505-e40d-4ff8-802d-5430cc2802b6', '87da47db-3d5c-48b2-b3f2-123123d766f0']","['86e934a2-75ef-4084-a167-ce0ca737532d', '87da47db-3d5c-48b2-b3f2-123123d766f0', 'fb491605-8f46-43ab-ba62-bfd86d95e4d6', '8b590505-e40d-4ff8-802d-5430cc2802b6', '0bad25fa-4a38-4561-9d35-56f1108797cd', 'd80f638e-7e4b-4e80-bc19-a4b764fd7614', '1f6c6525-a740-48c2-8dfc-9c4fb520c630']","[5.25, 9.0, 4.0, 7.75, 2.75, 6.5, 1.5]","[8008, 8112, 8229, 8103, 8095, 8081, 8108]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'grey', 'black', 'grey', 'black']","['attract and collide', 'pulled toward each other', 'black chased grey', 'grey chased black', 'mirroring each other', 'mirroring again', 'bouncing off each other slowly']",magnets,Not really,No
83,83,28083,66ae400b175a3c0941cc772f,8,9,46,48,7,7,"['50919f52-6a9c-4824-b24f-2f1aebd58e1b', 'c3cfe5d9-0b66-460b-a3db-a76a0df825ae', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '35ae5b09-f580-4922-91bd-f22c23175a47', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56']","['7413c064-c0e5-4104-89aa-79d64ef9d6d9', 'c3cfe5d9-0b66-460b-a3db-a76a0df825ae', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', '50919f52-6a9c-4824-b24f-2f1aebd58e1b', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56', '35ae5b09-f580-4922-91bd-f22c23175a47']","[4.0, 2.75, 7.75, 1.5, 6.5, 9.0, 5.25]","[8068, 8122, 8120, 8083, 8016, 8051, 8040]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'black', 'grey', 'black', 'black']","['they were attacking each other', 'they were attracted to each other', 'bumped into each other violently', 'both meeting each other ', 'black dot was attacking grey dot', 'grey dot was responding to black dot attacks', 'grey dot was attacking black dot']",animals,trying to understand who was instigating the movement,the video was slightly similar
84,84,28084,66732196db742aa22cc89f0e,8,9,47,48,7,7,"['38ad4b16-44e2-4e52-8d02-b23eca73a48d', '8dc79a0d-b826-4ac2-8483-04346b06960d', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6', '5f5a825b-b433-4986-b5d6-5239eb407d32', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '7f445daf-d952-4bf3-b733-def683994895', '6e2932f2-a9d1-4f2a-9599-a872b605c1eb']","['6e2932f2-a9d1-4f2a-9599-a872b605c1eb', '5f5a825b-b433-4986-b5d6-5239eb407d32', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '8dc79a0d-b826-4ac2-8483-04346b06960d', '7f445daf-d952-4bf3-b733-def683994895', '38ad4b16-44e2-4e52-8d02-b23eca73a48d', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6']","[9.0, 5.25, 6.5, 2.75, 7.75, 1.5, 4.0]","[7999, 8164, 9053, 9022, 9022, 8987, 9028]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'black', 'grey', 'grey']","['it looks like they were fighting', 'the speed of repel between the 2 dot is slower than before', 'they moved around and were collided as if they were fighting,', 'they both moved far apart, collided, separated far again and collided again', 'they moved diagonally and collided in between and separated again  ', 'the speed of the balls were mild as they collided', 'they are colliding and separating while rotating']",magnets,"yes, i observe the dots behaviour",none
85,85,28085,66a4cfce04a889ac238d8eab,8,9,51,40,7,7,"['7e595f18-f375-4ca5-b922-61b8d693804d', '4a2adf87-0f15-4bc0-9837-899addfb179c', '1a1c3419-9320-46a3-8b48-10e9514c3e7d', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', '14c0e4c6-94d9-41ec-b44a-5f6c8678230e', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', '9301277e-6b35-4aa7-bd52-4f56ae0f029b']","['9cf1ba8f-113d-408d-831d-4cf31ca51b3b', '14c0e4c6-94d9-41ec-b44a-5f6c8678230e', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', '9301277e-6b35-4aa7-bd52-4f56ae0f029b', '7e595f18-f375-4ca5-b922-61b8d693804d', '4a2adf87-0f15-4bc0-9837-899addfb179c', '1a1c3419-9320-46a3-8b48-10e9514c3e7d']","[5.25, 6.5, 7.75, 9.0, 1.5, 2.75, 4.0]","[8019, 8104, 8036, 8101, 8070, 8123, 8043]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'black', 'black', 'grey']","['collision', 'collision', 'aggressively colliding', 'Hitting each other', 'Soft contact', 'gentle collision', 'Mild collision']", , , 
86,86,28086,6643817a0a8e0da55d38d56f,8,9,50,48,7,7,"['e5e05e73-9cd0-4990-8da2-4962e0a03e5d', '8fa1d226-bf98-4c72-8961-7121546d4a11', '68382d9c-6cc5-4669-84bf-c8058e3c1472', '384dc3de-9717-4531-83a1-683588fe1381', '5456278f-d454-4194-af69-2784112cffb9', '8aeee0c2-7419-4cbe-aa42-af10b66f80b4', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","['8fa1d226-bf98-4c72-8961-7121546d4a11', '384dc3de-9717-4531-83a1-683588fe1381', '1be4605b-9f78-45d4-8eb0-87bdc69537e2', '8aeee0c2-7419-4cbe-aa42-af10b66f80b4', '68382d9c-6cc5-4669-84bf-c8058e3c1472', 'e5e05e73-9cd0-4990-8da2-4962e0a03e5d', '5456278f-d454-4194-af69-2784112cffb9']","[2.75, 5.25, 9.0, 7.75, 4.0, 1.5, 6.5]","[8192, 8304, 8153, 8104, 8181, 8169, 8151]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'black', 'grey', 'grey']","['they hit themselves', 'they are trying to communicate', 'they are in a collusion', 'they are arguing', 'they are playing', 'they are exchanging greetings', 'they are discussing']",magnets,i tried to describe what happened between the balls,the task is unique
87,87,28087,5dcccec0092079953154f997,8,9,48,48,7,7,"['e4bc0778-6eb7-4065-bf77-a9b6e293735f', '32110051-52cf-4952-a6e5-4c5fe75760b7', '50781782-fbf2-4226-a593-5173be906638', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '93e661c0-3f68-4205-9141-04164911b7e4', '3dbdd697-e200-4003-92f8-47202577ad0a', '132133b4-5554-4500-9494-87f534100012']","['32110051-52cf-4952-a6e5-4c5fe75760b7', '132133b4-5554-4500-9494-87f534100012', 'e4bc0778-6eb7-4065-bf77-a9b6e293735f', '93e661c0-3f68-4205-9141-04164911b7e4', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '50781782-fbf2-4226-a593-5173be906638', '3dbdd697-e200-4003-92f8-47202577ad0a']","[2.75, 9.0, 1.5, 6.5, 5.25, 4.0, 7.75]","[7961, 8014, 8067, 8051, 8070, 8048, 8086]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'grey', 'grey', 'black', 'black']","['The dots collided with each other from time to time and then they would distance themselves from each other and then crash and bounce away', 'The dots on this occasion it seemed as if they were facing each other, like a fight', 'The dots approached each other cautiously and interacted a little with each other', 'The dots were being attracted as if by a kind of impulse, dots chose to diverge in different directions', 'If I had to explain the interaction of the dots, it is as if they were destined to fight each other', 'It was a gentle interaction with each other, the dots bounced around after having interacted', 'In this occasion, the dots looks like two rams hitting each other ']",animals,I just tried to focus on the behavior of the dots and how the interactions occurred ,There is nothing else to add
88,88,28088,6676960285aeb8e3899cb504,8,9,52,48,7,7,"['81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', '204d8c5c-c9ac-4aef-956d-74de8c6eedc4', '83dec58f-0765-4ddc-b785-670d8025c467', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '2c174300-1111-477c-b605-e34e6031cd26', '015f75aa-de90-4fdc-8657-d630f1963869', '9f7e489f-4076-4332-b57e-13a42d4c75fd']","['015f75aa-de90-4fdc-8657-d630f1963869', '2c174300-1111-477c-b605-e34e6031cd26', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '83dec58f-0765-4ddc-b785-670d8025c467', '204d8c5c-c9ac-4aef-956d-74de8c6eedc4', '81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', '9f7e489f-4076-4332-b57e-13a42d4c75fd']","[7.75, 6.5, 5.25, 4.0, 2.75, 1.5, 9.0]","[8153, 8322, 8213, 8214, 8224, 8191, 8200]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'black', 'grey', 'black', 'black']","['the two dots was fighting.', 'the two dots was hitting each other. ', 'the two dots was not that friendly to each other', 'the two dots was not that aggressive like before.', 'the dots speed has reduce anger has reduce.', 'the two dots is moving friendly.', 'is like the the two dots are confronting each other.']",animals,NO,the study is interesting.
89,89,28089,665cf485dd9884a03cbb441a,8,9,53,48,7,7,"['95aaf072-b6be-4da4-9857-deaf20ab49f2', '3fd185a3-34a1-4f1a-9d01-aee3deee3988', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', '7c59d616-cf70-400a-8ebd-9b3cdfb854ec', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', '8e6be05b-c10c-43db-b062-a559f5033312']","['8a889364-bfa4-42f7-8d4c-ee7478ea863c', '3fd185a3-34a1-4f1a-9d01-aee3deee3988', '8e6be05b-c10c-43db-b062-a559f5033312', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '7c59d616-cf70-400a-8ebd-9b3cdfb854ec', '95aaf072-b6be-4da4-9857-deaf20ab49f2']","[5.25, 2.75, 9.0, 7.75, 4.0, 6.5, 1.5]","[7996, 8139, 7627, 7909, 8081, 8039, 8061]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'grey', 'grey', 'black', 'grey']","['Circular movement but then attacked each other', 'Circular movement but this time, black lead the attack on grey', 'Circular movement until they reached closer to each other. Began attacking', 'Calmly moving but then attacked each other', 'Grey on the offensive in attacking. Circular movements', 'Slow movement in a circular pattern and then attacked each other', 'Circular movement but this time, the attack wasnt fast. It was at the normal movement speed and they collided']",insects,"Closely followed the dots around the screen thinking it may try to spell something. When they collided, I felt they simulated flies maybe? Just tried to track the movements, notice the aggressor and keep track of their paths",Very enjoyable and straightforward. Instructions were clear and well presented. 
