,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num
3,28000,26,4.0,8173,The dots collided and then moved apart from each other,50781782-fbf2-4226-a593-5173be906638,3
4,28001,25,4.0,8047,"The black dot went straight towards the grey dot, while the grey dot sort of moved away at first then came back together",70326c05-1133-4c5d-8a4c-3e71e0da8479,4
4,28002,28,4.0,8315,"hit twice, not hard",1d41f125-7386-42b4-8250-f6c540c627a8,4
0,28003,29,4.0,8082,the dots bumped into each other twice,0890b767-b394-4f89-aea1-c60cab7014af,0
0,28004,32,4.0,8096,they swirled around and bumped into each other twice,1f7aa6f4-6516-4b90-8eeb-142b1437644b,0
2,28005,35,4.0,8159,sudden forceful clashing ,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,2
5,28006,36,4.0,9334,Magnetic,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,5
5,28007,33,4.0,7709,Moving around slowly and accelerated into each other twice. Alternated which dot accelerated first each time,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,5
1,28008,31,4.0,8300,One dot gets pulled towards the other dot then they collide,7413c064-c0e5-4104-89aa-79d64ef9d6d9,1
1,28009,41,4.0,8215,attraction,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,1
3,28010,39,4.0,8146,gentle collision,68382d9c-6cc5-4669-84bf-c8058e3c1472,3
3,28011,40,4.0,8034,collided twice,1f7aa6f4-6516-4b90-8eeb-142b1437644b,3
5,28012,42,4.0,8043,The dots bounced off each other,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,5
0,28013,42,4.0,8229,the two dots moved and then collided with each other twice,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,0
2,28014,45,4.0,8070,the grey dot looked like it was aiming to hit the black dot and then the black dot 'retaliated' (this hapenned twice),0890b767-b394-4f89-aea1-c60cab7014af,2
3,28015,46,4.0,8266,the dots kept being drawn to one another but they each made the first move the two different times,7413c064-c0e5-4104-89aa-79d64ef9d6d9,3
2,28016,51,4.0,8001,attacks,1a1c3419-9320-46a3-8b48-10e9514c3e7d,2
3,28017,48,4.0,8015,keeping distance then attacking,50781782-fbf2-4226-a593-5173be906638,3
4,28018,47,4.0,8070,The dots moved in their own space & then joined together & then moved apart. This occured twice.,7c45bceb-e7dc-4a58-a9f2-02aa015541c6,4
2,28019,52,4.0,8042,"They black dot swept towards the grey, they grey redirected and they collided. They then went separate ways before the grey swept towards the black, the black redirected and they collided",83dec58f-0765-4ddc-b785-670d8025c467,2
1,28020,49,4.0,7986,dots passed by and then flew together,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,1
4,28021,58,4.0,8255,the dots moved in a circular motion before hitting into eachother.,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,4
2,28022,59,4.0,8023,The dots moving slowly but they fought each other.,1d41f125-7386-42b4-8250-f6c540c627a8,2
0,28023,66,4.0,7969,they attracted then repelled,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,0
1,28024,65,4.0,8040,they bumped into eachother twice again. the lighter one being more aggressive,50781782-fbf2-4226-a593-5173be906638,1
0,28025,63,4.0,8133,dots would float away and then collide into each other,1d41f125-7386-42b4-8250-f6c540c627a8,0
1,28026,64,4.0,8198,the crashed into each other twice again,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,1
6,28027,71,4.0,8416,"Dots floating around and bumped into eachother twice, separating again each time",83dec58f-0765-4ddc-b785-670d8025c467,6
4,28028,68,4.0,8029,Both dots were far apart and hit each other twice slowly.,1f7aa6f4-6516-4b90-8eeb-142b1437644b,4
0,28029,67,4.0,8251,"the dots move opposite of each then are pulled to together, almost like a magnet.",86e26a06-c6f9-47dc-bc1f-1c78f1f93251,0
