stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
2176e0c4-bf6c-4f4a-a64b-23825205a150,wander,180,83.0,2.368,1,3,33
1841b8a9-ff1d-481d-80de-2134f2461e8b,chase,90,61.0,2.453,1,3,34
21ca5095-0a92-499b-9d26-d8a5f4a0841a,wander,180,36.0,2.072,0,3,35
19c65966-3d88-4851-afe4-ae34c498748c,chase,0,91.0,1.756,1,3,36
57dbdc86-9c49-4214-a908-c4a254e90229,chase,30,94.0,1.618,1,3,37
7a0667e7-8139-4401-ac54-a32c486101b1,mimic,60,15.0,1.813,1,3,38
0363101f-8ad9-4b32-a49c-743a28904a0f,mimic,90,5.0,1.855,0,3,39
1bc0b0c8-e058-4a68-bdab-65b544a8848d,chase,120,22.0,2.291,1,3,40
46975d67-ead1-4d29-93d2-9fbd40dad49d,wander,180,33.0,1.339,0,3,41
8d9b8961-4fb1-4413-b875-966e01b9963a,chase,60,75.0,1.66,1,3,42
01f19557-63b1-449b-9a8f-a53ade764686,mimic,30,31.0,1.969,0,3,43
a0907c50-1e49-490b-8fe4-a28c4b3b8be6,mimic,60,18.0,1.568,1,3,44
961ceaa3-bae4-42e6-9900-d61b3f7d2b6a,mimic,120,55.0,1.604,1,3,45
4cd79935-2124-4c73-9bff-ce0554f08119,chase,150,9.0,1.574,0,3,46
1b715dd0-d113-4da2-bf60-7a9f9abdbe20,mimic,0,28.0,1.868,1,3,47
89ce6bb6-b2cb-44cb-ba57-d78ab0224625,chase,90,72.0,2.078,1,3,48
47505654-05f0-4b92-a9a3-978c80bda46b,chase,0,78.0,1.534,1,3,49
a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,chase,90,64.0,2.374,1,3,50
0a730462-ba50-4dbe-97c6-911f61a40346,chase,30,70.0,1.885,1,3,51
ab00d160-e81d-4e88-8498-f20c2da7c451,mimic,60,14.0,2.109,0,3,52
a4025c10-2bc6-475f-b2bb-23992061eb07,mimic,150,33.0,2.168,0,3,53
0ea51ff3-f8ac-4d29-a981-0a167d74909c,chase,30,81.0,2.067,1,3,54
3a6f58b9-a472-480a-a6fb-8d825894f11a,mimic,0,25.0,2.573,0,3,55
91659665-5079-44c4-96c1-49da784170fa,chase,60,80.0,1.84,1,3,56
36abe6b0-5185-4dad-8201-c13c1fa8a4ac,mimic,90,34.0,2.028,1,3,57
10a07293-2c74-4b8a-bbef-b0f436cde5fb,chase,150,26.0,2.391,0,3,58
12a3cd27-040f-4199-9edb-5cd4bb71b3d0,wander,180,64.0,2.293,0,3,59
a95096ac-e30b-4f2f-a457-133bcf21a9ec,mimic,0,57.0,2.193,0,3,60
3929e9d5-259e-48e5-8556-ce09d3298e6b,mimic,90,41.0,2.204,0,3,61
3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,chase,120,70.0,2.263,1,3,62
b85aade3-1e8e-46a0-b961-0996e87792d3,mimic,0,21.0,1.983,1,3,63
2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,wander,180,20.0,1.532,0,3,64
00139b14-fa60-4af8-9eba-0b4965060c34,wander,180,35.0,2.884,1,3,65
bbdbec2b-0ce6-4f9c-ad2d-e6392388d4fb,chase,0,89.0,1.528,1,3,66
bf1806ce-f5bf-4267-9b59-9311a18bb8e8,mimic,120,83.0,1.867,1,3,67
b7261f19-79df-4505-b935-0cb890ebda9c,chase,120,74.0,1.502,1,3,68
85aa46c9-fe72-469c-a4cd-96f72ab4ccba,chase,60,85.0,1.704,1,3,69
4e1f0fd0-6be1-4dea-9769-9d52ec74cd81,mimic,150,23.0,2.763,0,3,70
b4c4be26-aec9-443f-9bbd-25df99c2840d,mimic,150,32.0,1.723,0,3,71
0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,chase,30,91.0,1.704,1,3,72
124f53c2-90c6-4716-8221-e86088f8d257,wander,180,61.0,1.753,0,3,73
8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,chase,60,84.0,2.37,1,3,74
61eee444-3c06-4628-b4f4-ff144eb1d500,mimic,150,78.0,1.84,0,3,75
c03f6639-c5f0-4ded-bb0a-19a112cefe1c,mimic,60,20.0,1.53,1,3,76
ff27abe6-51d5-45ca-9b97-247bc5079e60,mimic,120,62.0,1.645,0,3,77
1247c2a3-9c1a-478d-ad2b-6640715d76a4,chase,150,11.0,1.518,0,3,78
4c50352d-2e1e-4e2e-ad43-613002422011,mimic,90,38.0,2.763,0,3,79
68c0fec8-cf83-48bf-8079-a5f414fe7504,chase,90,88.0,1.84,1,3,80
ceedd529-39a5-4c29-8103-d6ac89521de6,chase,90,83.0,1.533,1,3,81
31932267-3908-4599-ba56-ba5043757838,chase,30,86.0,1.932,1,3,82
c709d720-a41a-45e2-b3d2-08102ef0dd28,mimic,120,43.0,2.348,1,3,83
57dbdc86-9c49-4214-a908-c4a254e90229,chase,30,,10.012,0,4,0
5d03f888-af19-414e-95d1-aa95f64cd8b1,mimic,30,18.0,8.066,0,4,1
7da9ad01-3df5-45e9-8edf-4af0795536e1,chase,120,84.0,4.946,1,4,2
18487641-212a-4e1e-8730-31709d721382,chase,150,25.0,6.002,0,4,3
c03f6639-c5f0-4ded-bb0a-19a112cefe1c,mimic,60,2.0,8.825,1,4,4
7b3797d6-d4cc-4819-b3ad-adfd144217e2,chase,60,96.0,5.133,1,4,5
07cdb9d7-6577-428d-9498-8a7243527554,chase,0,95.0,5.521,1,4,6
5de53504-97fe-436b-ba5c-5bfff70f79fe,mimic,0,13.0,6.529,1,4,7
1d35e834-4947-46b2-9cbd-816ea4587c6f,wander,180,20.0,5.915,0,4,8
b04bf045-4291-437c-b53e-6d779af76038,mimic,90,85.0,4.838,0,4,9
1247c2a3-9c1a-478d-ad2b-6640715d76a4,chase,150,17.0,5.641,1,4,10
9c46112a-3307-42b7-8386-bdf38ba679af,chase,150,89.0,4.169,1,4,11
8d9b8961-4fb1-4413-b875-966e01b9963a,chase,60,90.0,5.226,1,4,12
91659665-5079-44c4-96c1-49da784170fa,chase,60,89.0,5.858,1,4,13
87b8564c-7590-4001-b1e8-6f26c4e4bf8a,chase,120,82.0,4.28,1,4,14
49e5ac90-6e7f-4243-9552-8c4c10545895,chase,0,88.0,5.539,1,4,15
a0907c50-1e49-490b-8fe4-a28c4b3b8be6,mimic,60,17.0,4.851,1,4,16
e9db5801-6830-4609-97a0-46296598a5b7,mimic,150,16.0,4.29,0,4,17
8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,chase,60,67.0,4.373,1,4,18
68c0fec8-cf83-48bf-8079-a5f414fe7504,chase,90,82.0,4.615,1,4,19
866a8867-d05f-4a43-a450-97e5fd6015f8,mimic,90,14.0,5.051,0,4,20
df2b4818-3777-48b6-924c-bcd056405d46,mimic,150,18.0,4.537,1,4,21
ff27abe6-51d5-45ca-9b97-247bc5079e60,mimic,120,17.0,3.616,0,4,22
806dce3c-11e6-49c6-8451-980c12e415b0,mimic,30,14.0,4.608,0,4,23
14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,chase,150,43.0,5.424,0,4,24
d9b1d24b-8e48-46f4-a110-6e0eaa636dd5,mimic,0,6.0,5.037,0,4,25
24c2e50f-6cd9-4181-bf15-db2e7239f3c3,mimic,150,28.0,4.469,1,4,26
97de9f66-be0c-4b66-bed1-c5f85d360d26,mimic,30,64.0,3.827,0,4,27
7fa729b4-a76f-4d75-a22b-3ecddb220ae0,mimic,90,58.0,6.355,1,4,28
6ccf7af8-e546-4b8c-9638-a8cfdc77fdb2,mimic,120,18.0,5.075,0,4,29
bf1806ce-f5bf-4267-9b59-9311a18bb8e8,mimic,120,60.0,4.461,0,4,30
286e3344-db14-477e-ad2f-4aaa462d29bf,mimic,60,17.0,3.621,0,4,31
7e4763cb-3bf2-48e1-a717-5314c5f41fa6,mimic,90,32.0,4.776,1,4,32
a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,chase,90,75.0,4.033,1,4,33
27771508-6d61-4618-83ca-4bc020efddfe,wander,180,57.0,5.228,0,4,34
0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,chase,30,86.0,4.36,1,4,35
47505654-05f0-4b92-a9a3-978c80bda46b,chase,0,89.0,4.9,1,4,36
124f53c2-90c6-4716-8221-e86088f8d257,wander,180,61.0,4.227,1,4,37
a95096ac-e30b-4f2f-a457-133bcf21a9ec,mimic,0,18.0,4.47,1,4,38
2176e0c4-bf6c-4f4a-a64b-23825205a150,wander,180,97.0,5.242,0,4,39
4f077c82-959e-43e6-9381-8f6126e6ff29,mimic,60,15.0,6.492,0,4,40
37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,chase,0,95.0,4.317,1,4,41
01f19557-63b1-449b-9a8f-a53ade764686,mimic,30,27.0,4.319,1,4,42
2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,wander,180,38.0,4.7,0,4,43
