,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num,similarity_play,similarity_fight,similarity_play_fight
6,28043,99,6.5,8015,faster,ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8,6,0.27189943194389343,0.3136264979839325,-0.04172706604003906
5,28044,96,6.5,8136,sticky attraction leading to collision,e3160d16-fe5e-4987-918b-0921ab937804,5,0.09466512501239777,0.1863347589969635,-0.09166963398456573
1,28045,97,6.5,8293,drama ,debe6245-13a4-4a31-b28a-e7b25ce8fa93,1,0.34722900390625,0.4300053119659424,-0.08277630805969238
0,28046,94,6.5,7958,dots moved randomly then twice bumped against each other,2c174300-1111-477c-b605-e34e6031cd26,0,0.14095281064510345,0.06507962197065353,0.07587318867444992
1,28047,95,6.5,8302,"Both dots moved simultaneously and then all of the sudden move towards each other and punched each other, then moved then dashed to each other again and punched.",755a600e-d336-4f66-8771-52eed84faf02,1,0.18063637614250183,0.299663782119751,-0.11902740597724915
1,28048,89,6.5,8363,The dots hit each other twice,93e661c0-3f68-4205-9141-04164911b7e4,1,0.20531651377677917,0.17889970541000366,0.026416808366775513
2,28049,88,6.5,8286,The dots floated around each other before hitting each other twice ,8dbfdd79-2b3f-4297-8ec2-92d59884dd68,2,0.19593937695026398,0.13221177458763123,0.06372760236263275
2,28050,98,6.5,8369,the ball fast  hit each other ,d80f638e-7e4b-4e80-bc19-a4b764fd7614,2,0.34600770473480225,0.22696974873542786,0.11903795599937439
3,28051,4,6.5,8470,two dots meet at a point,5456278f-d454-4194-af69-2784112cffb9,3,0.16199539601802826,0.160291388630867,0.0017040073871612549
5,28052,6,6.5,8271,the two dots are hitting one another,2fa02aa8-ef06-46e0-87af-9e3b7267ee79,5,0.21751563251018524,0.18395183980464935,0.03356379270553589
0,28053,3,6.5,8001,Attacking,187f8493-9a30-43cc-a2bd-5d96f6d2263d,0,0.3938009738922119,0.5579482316970825,-0.1641472578048706
3,28054,8,6.5,8058,8,debe6245-13a4-4a31-b28a-e7b25ce8fa93,3,0.27217021584510803,0.33356648683547974,-0.061396270990371704
6,28055,2,6.5,8286,The black dot is pushing to hit the grey,93e661c0-3f68-4205-9141-04164911b7e4,6,0.21759678423404694,0.18205991387367249,0.03553687036037445
2,28056,4,6.5,8164,They charged at each other,5456278f-d454-4194-af69-2784112cffb9,2,0.18732555210590363,0.29260244965553284,-0.10527689754962921
0,28057,14,6.5,7959,collided,2c174300-1111-477c-b605-e34e6031cd26,0,0.3351637125015259,0.48290887475013733,-0.14774516224861145
2,28058,13,6.5,12264,"the two dots seems like they are playing, colliding then moving apart",14c0e4c6-94d9-41ec-b44a-5f6c8678230e,2,0.4155854284763336,0.16962556540966034,0.24595986306667328
1,28059,80,6.5,8031,They both moved towards the left side of the box moving in a squigly motion and than hit each twice and what I mean by that is sped towards each other and crashed into each other similar to what you would think of it looks like if two cars are playing the game chicken against each other.,40860eea-1c44-4896-96b1-ee2d42a6c522,1,0.2232954055070877,0.19331608712673187,0.029979318380355835
1,28060,19,6.5,8058,bounced off each other twice,e2c787c5-5358-4a21-bb35-c422b37ef982,1,0.2541846036911011,0.2752717435359955,-0.02108713984489441
5,28061,19,6.5,7952,Intersected quickly,e2c787c5-5358-4a21-bb35-c422b37ef982,5,0.1746661216020584,0.252133846282959,-0.07746772468090057
2,28062,27,6.5,7879,attacks,2fa02aa8-ef06-46e0-87af-9e3b7267ee79,2,0.23340152204036713,0.4226059317588806,-0.1892044097185135
