,subID,stimset_rows,chargeSpeed,responses,movie,trial_num,similarity_playing,similarity_fighting,similarity_fight_play
4,24036,54,2.75,Tag,46c1720a-0af5-44e9-b008-09b89ef78bd9,4,0.3403148949146271,0.29815465211868286,-0.042160242795944214
0,24037,65,2.75,high fiving,8fa1d226-bf98-4c72-8961-7121546d4a11,0,0.29594331979751587,0.27258267998695374,-0.023360639810562134
2,24038,20,2.75,playing,c49bbdbd-6e52-4da5-887c-72db9cec7d93,2,1.0,0.46540114283561707,-0.5345988571643829
4,24039,16,2.75,playing hide and seek ,46c1720a-0af5-44e9-b008-09b89ef78bd9,4,0.493427038192749,0.18133260309696198,-0.31209443509578705
6,24040,23,2.75,Grey dot at a distance and then coming up to the black dot to be bounced back,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,6,0.2576971650123596,0.13741713762283325,-0.12028002738952637
2,24041,5,2.75,running around,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,2,0.456896036863327,0.3924204707145691,-0.06447556614875793
0,24042,12,2.75,playing  tag,59df47e5-696a-407f-aa33-94dab9b3e492,0,0.6409550309181213,0.271896630525589,-0.36905840039253235
4,24043,95,2.75,tag,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,4,0.3403148949146271,0.29815465211868286,-0.042160242795944214
5,24044,43,2.75,bouncing off each other,112b96b3-6518-4053-ad9f-ff77320acc23,5,0.32118067145347595,0.3203405737876892,-0.0008400976657867432
1,24045,92,2.75,dancing,32110051-52cf-4952-a6e5-4c5fe75760b7,1,0.45027947425842285,0.3849746584892273,-0.06530481576919556
0,24046,15,2.75,Playing,94eac034-9d70-40c0-89d4-d9a030a03d26,0,1.0,0.46540114283561707,-0.5345988571643829
3,24047,9,2.75,Fencing,88ff8e25-5b4f-453c-add2-298ef66c683c,3,0.3411329686641693,0.44563689827919006,0.10450392961502075
3,24048,67,2.75,playing,46c1720a-0af5-44e9-b008-09b89ef78bd9,3,1.0,0.46540114283561707,-0.5345988571643829
6,24049,73,2.75,coming together then moving apart,215ead11-5650-429d-b541-0b107fbb996a,6,0.21111612021923065,0.29737406969070435,0.0862579494714737
2,24050,14,2.75,"playing, running into each other",c496efe1-6c3e-480d-856f-af132dbe7048,2,0.6725066900253296,0.3745455741882324,-0.29796111583709717
1,24051,23,2.75,The dots were moving to and fro.,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,1,0.17285233736038208,0.15391314029693604,-0.018939197063446045
0,24052,82,2.75,playing tag,8fa1d226-bf98-4c72-8961-7121546d4a11,0,0.6409550309181213,0.271896630525589,-0.36905840039253235
4,24053,77,2.75,Playing,8dc79a0d-b826-4ac2-8483-04346b06960d,4,1.0,0.46540114283561707,-0.5345988571643829
2,24054,4,2.75,playing chase,42a6675b-868f-488d-a671-17a04c97ab01,2,0.6131830811500549,0.3377099931240082,-0.27547308802604675
3,24055,66,2.75,Playing tag,c496efe1-6c3e-480d-856f-af132dbe7048,3,0.6409550309181213,0.271896630525589,-0.36905840039253235
4,24056,1,2.75,playing,8fa1d226-bf98-4c72-8961-7121546d4a11,4,1.0,0.46540114283561707,-0.5345988571643829
6,24057,12,2.75,Playing,59df47e5-696a-407f-aa33-94dab9b3e492,6,1.0,0.46540114283561707,-0.5345988571643829
3,24058,96,2.75,enjoying the surroundings,8dc79a0d-b826-4ac2-8483-04346b06960d,3,0.39381131529808044,0.21632854640483856,-0.17748276889324188
0,24059,7,2.75,Moving around then coming together,32110051-52cf-4952-a6e5-4c5fe75760b7,0,0.26558688282966614,0.2766278088092804,0.011040925979614258
2,24060,19,2.75,dancing,c49bbdbd-6e52-4da5-887c-72db9cec7d93,2,0.45027947425842285,0.3849746584892273,-0.06530481576919556
2,24061,89,2.75,Meeting,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,2,0.3565537929534912,0.3726089298725128,0.016055136919021606
1,24062,63,2.75,running alongside one another than colliding,4a2adf87-0f15-4bc0-9837-899addfb179c,1,0.23068317770957947,0.2686198353767395,0.037936657667160034
1,24063,0,2.75,Colliding,3fd185a3-34a1-4f1a-9d01-aee3deee3988,1,0.38597387075424194,0.4753241539001465,0.08935028314590454
1,24064,16,2.75,Marco polo,46c1720a-0af5-44e9-b008-09b89ef78bd9,1,0.21506567299365997,0.20716170966625214,-0.007903963327407837
2,24065,10,2.75,running round park,215ead11-5650-429d-b541-0b107fbb996a,2,0.34361532330513,0.2426605224609375,-0.1009548008441925
1,24066,59,2.75,Bumping together,c496efe1-6c3e-480d-856f-af132dbe7048,1,0.2793913781642914,0.3342806100845337,0.05488923192024231
2,24067,90,2.75,passing something to each other,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,2,0.1996738165616989,0.17003504931926727,-0.02963876724243164
0,24068,57,2.75,They are playing tag.,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,0,0.4779420495033264,0.20273660123348236,-0.27520544826984406
0,24069,42,2.75,playing tag,215ead11-5650-429d-b541-0b107fbb996a,0,0.6409550309181213,0.271896630525589,-0.36905840039253235
6,24070,24,2.75,playing ball,8fa1d226-bf98-4c72-8961-7121546d4a11,6,0.7728583812713623,0.39056286215782166,-0.38229551911354065
4,24071,22,2.75,Somehow slowly approached one another,59df47e5-696a-407f-aa33-94dab9b3e492,4,0.2443416863679886,0.2590814232826233,0.014739736914634705
5,24072,11,2.75,running into each other,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,5,0.3382231891155243,0.35371220111846924,0.015489012002944946
5,24073,35,2.75,playing tag,8dc79a0d-b826-4ac2-8483-04346b06960d,5,0.6409550309181213,0.271896630525589,-0.36905840039253235
6,24074,76,2.75,riding in 'bumper' cars,94eac034-9d70-40c0-89d4-d9a030a03d26,6,0.22545106709003448,0.2590177059173584,0.033566638827323914
