,subID,block_type,subtlety,chargeSpeeds,responses_subt_1,responses_subt_2,pred_color,responses_pf,RT,movie,trial_num,stim_dur,subt_norm,chargeSpeed_norm,accuracy,responses_pf_rev,chargeSpeed_norm_rev
24,30005,1,150.0,,1.0,black,black,,4221.0,1247c2a3-9c1a-478d-ad2b-6640715d76a4,24,5990,0.16666666666666666,,1.0,,
25,30005,1,150.0,,42.0,grey,grey,,3283.0,275adee0-f228-423e-816a-e5e70b874bf3,25,6018,0.16666666666666666,,1.0,,
26,30005,1,30.0,,99.0,black,black,,3791.0,a4bd654a-f8f1-44b4-907f-0114e1caa391,26,5997,0.8333333333333334,,1.0,,
27,30005,1,0.0,,98.0,black,black,,4097.0,37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,27,5986,1.0,,1.0,,
42,30005,1,150.0,,10.0,black,black,,3361.0,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,42,5983,0.16666666666666666,,1.0,,
43,30005,1,60.0,,82.0,grey,grey,,2752.0,a7fd07d1-e946-43a4-882d-0b3b7882ed21,43,5993,0.6666666666666666,,1.0,,
44,30005,1,120.0,,17.0,black,black,,4046.0,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,44,6035,0.3333333333333333,,1.0,,
45,30005,1,30.0,,91.0,grey,grey,,3656.0,57dbdc86-9c49-4214-a908-c4a254e90229,45,6080,0.8333333333333334,,1.0,,
46,30005,1,0.0,,95.0,black,black,,2474.0,816e0a69-dfb6-4a6f-8ffe-97d092e27835,46,6025,1.0,,1.0,,
47,30005,1,90.0,,75.0,grey,grey,,3695.0,1841b8a9-ff1d-481d-80de-2134f2461e8b,47,6031,0.5,,1.0,,
48,30005,1,30.0,,93.0,black,black,,2493.0,17e4063d-b2f1-4406-8a8f-be7151fd23c1,48,5991,0.8333333333333334,,1.0,,
49,30005,1,0.0,,97.0,grey,grey,,2906.0,9dfa52b0-9e95-49de-bddb-e53316f2b4ae,49,6041,1.0,,1.0,,
50,30005,1,90.0,,95.0,black,black,,4737.0,68c0fec8-cf83-48bf-8079-a5f414fe7504,50,6026,0.5,,1.0,,
51,30005,1,180.0,,1.0,black,grey,,7009.0,00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,51,6139,0.0,,0.0,,
52,30005,1,60.0,,96.0,black,black,,3502.0,8d9b8961-4fb1-4413-b875-966e01b9963a,52,6008,0.6666666666666666,,1.0,,
53,30005,1,30.0,,99.0,grey,grey,,2628.0,0a730462-ba50-4dbe-97c6-911f61a40346,53,5977,0.8333333333333334,,1.0,,
54,30005,1,120.0,,55.0,grey,grey,,7421.0,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,54,6072,0.3333333333333333,,1.0,,
55,30005,1,0.0,,99.0,grey,grey,,3087.0,19c65966-3d88-4851-afe4-ae34c498748c,55,6017,1.0,,1.0,,
70,30005,1,30.0,,96.0,grey,grey,,3353.0,31932267-3908-4599-ba56-ba5043757838,70,5944,0.8333333333333334,,1.0,,
71,30005,1,180.0,,7.0,black,grey,,3905.0,46975d67-ead1-4d29-93d2-9fbd40dad49d,71,6116,0.0,,0.0,,
72,30005,1,150.0,,6.0,grey,grey,,4151.0,10a07293-2c74-4b8a-bbef-b0f436cde5fb,72,5998,0.16666666666666666,,1.0,,
73,30005,1,60.0,,60.0,black,black,,3268.0,cca827ad-af9d-4cfd-ae71-7e028e3f8520,73,5992,0.6666666666666666,,1.0,,
74,30005,1,150.0,,45.0,grey,grey,,8247.0,18487641-212a-4e1e-8730-31709d721382,74,6014,0.16666666666666666,,1.0,,
75,30005,1,0.0,,92.0,grey,grey,,3039.0,75182d69-6502-4d35-9298-e331061c7829,75,6011,1.0,,1.0,,
76,30005,1,60.0,,77.0,grey,grey,,3508.0,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,76,6016,0.6666666666666666,,1.0,,
77,30005,1,0.0,,97.0,black,black,,3395.0,c188e383-94d7-475e-9da5-6d1f0a1184bb,77,5960,1.0,,1.0,,
78,30005,1,60.0,,89.0,black,black,,3781.0,804f9681-f112-463c-a764-a40a823d6845,78,5958,0.6666666666666666,,1.0,,
79,30005,1,180.0,,31.0,grey,grey,,6254.0,7bee52f4-919b-4633-b742-a0181f5f7f01,79,6114,0.0,,1.0,,
80,30005,1,90.0,,60.0,black,black,,2527.0,1d4805c2-68cf-415b-af2f-f7c0564b59aa,80,5969,0.5,,1.0,,
81,30005,1,120.0,,40.0,grey,grey,,4255.0,a68cb7dc-2812-45a9-b8f6-862ff43630fb,81,6021,0.3333333333333333,,1.0,,
82,30005,1,120.0,,62.0,black,black,,4566.0,6480385b-e9eb-45a9-88e3-aade6c90476d,82,6004,0.3333333333333333,,1.0,,
83,30005,1,90.0,,77.0,grey,grey,,2942.0,a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,83,5974,0.5,,1.0,,
0,30006,1,90.0,,71.0,grey,grey,,4860.0,ceedd529-39a5-4c29-8103-d6ac89521de6,0,12040,0.5,,1.0,,
1,30006,1,120.0,,2.0,black,black,,4940.0,987cd79f-7d6a-426b-8983-8bee8675f0ba,1,13046,0.3333333333333333,,1.0,,
2,30006,1,60.0,,92.0,grey,grey,,3693.0,7b3797d6-d4cc-4819-b3ad-adfd144217e2,2,12608,0.6666666666666666,,1.0,,
3,30006,1,60.0,,79.0,grey,grey,,4838.0,a7fd07d1-e946-43a4-882d-0b3b7882ed21,3,10817,0.6666666666666666,,1.0,,
4,30006,1,90.0,,82.0,black,black,,3743.0,42ffed3d-edac-4ca7-9b33-6f525cb7c364,4,13125,0.5,,1.0,,
5,30006,1,60.0,,22.0,black,black,,3589.0,cca827ad-af9d-4cfd-ae71-7e028e3f8520,5,12357,0.6666666666666666,,1.0,,
6,30006,1,30.0,,100.0,grey,grey,,2841.0,0a730462-ba50-4dbe-97c6-911f61a40346,6,12645,0.8333333333333334,,1.0,,
7,30006,1,150.0,,0.0,black,grey,,3294.0,18487641-212a-4e1e-8730-31709d721382,7,12775,0.16666666666666666,,0.0,,
8,30006,1,120.0,,1.0,grey,grey,,3326.0,9996b324-9da6-4bd7-a5d5-305513d257ce,8,11681,0.3333333333333333,,1.0,,
9,30006,1,60.0,,91.0,black,black,,2725.0,804f9681-f112-463c-a764-a40a823d6845,9,12461,0.6666666666666666,,1.0,,
10,30006,1,30.0,,100.0,black,black,,2587.0,0ea51ff3-f8ac-4d29-a981-0a167d74909c,10,12482,0.8333333333333334,,1.0,,
11,30006,1,180.0,,0.0,grey,grey,,7941.0,4a6f7598-dc16-47d6-987e-a48c1f938428,11,12506,0.0,,1.0,,
12,30006,1,60.0,,100.0,grey,grey,,3337.0,3273fde2-4b65-4cc7-b9b3-ef2604e8a514,12,12058,0.6666666666666666,,1.0,,
13,30006,1,30.0,,100.0,black,black,,3406.0,17e4063d-b2f1-4406-8a8f-be7151fd23c1,13,12214,0.8333333333333334,,1.0,,
28,30006,1,150.0,,0.0,black,black,,6777.0,4cd79935-2124-4c73-9bff-ce0554f08119,28,12603,0.16666666666666666,,1.0,,
29,30006,1,180.0,,0.0,black,grey,,3826.0,1d35e834-4947-46b2-9cbd-816ea4587c6f,29,11209,0.0,,0.0,,
30,30006,1,150.0,,0.0,grey,grey,,2363.0,4270e833-4dad-483f-85cb-3dee1fccc571,30,12856,0.16666666666666666,,1.0,,
31,30006,1,120.0,,0.0,grey,grey,,3020.0,b7261f19-79df-4505-b935-0cb890ebda9c,31,12719,0.3333333333333333,,1.0,,
32,30006,1,180.0,,0.0,grey,black,,2268.0,977e0607-6332-4db4-ab12-9d17dce4dc85,32,13099,0.0,,0.0,,
33,30006,1,90.0,,69.0,grey,grey,,2394.0,a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,33,13023,0.5,,1.0,,
34,30006,1,0.0,,100.0,black,black,,2724.0,47505654-05f0-4b92-a9a3-978c80bda46b,34,11825,1.0,,1.0,,
35,30006,1,150.0,,0.0,grey,grey,,3504.0,275adee0-f228-423e-816a-e5e70b874bf3,35,12462,0.16666666666666666,,1.0,,
36,30006,1,120.0,,63.0,black,black,,2793.0,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,36,12327,0.3333333333333333,,1.0,,
37,30006,1,0.0,,100.0,black,black,,2675.0,37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,37,9512,1.0,,1.0,,
38,30006,1,90.0,,75.0,black,black,,3029.0,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,38,12049,0.5,,1.0,,
39,30006,1,0.0,,100.0,grey,grey,,2644.0,53613c0d-b07e-4b22-b6ec-56dda26edc8f,39,10875,1.0,,1.0,,
40,30006,1,120.0,,0.0,black,black,,2938.0,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,40,12265,0.3333333333333333,,1.0,,
