,index,subID,r_squared_subt,nrmse_subt,aic_subt,subj_center_subt,PSE_subt,sigma_subt,bias_xmin_subt,bias_xmax_subt,bias_lower_subt,bias_upper_subt,flipped_subt,range_subt,bias_subt,r_squared_pf,nrmse_pf,aic_pf,PSE_pf,slope_pf,intercept,bias_xmin_pf,bias_xmax_pf,bias_lower_pf,bias_upper_pf,flipped_pf,range_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
20,20,30030.0,0.71714183197589,0.1714022710517894,-20.692388320541177,0.381466703916271,0.0254055524082817,0.13951988252471,0.4953103166165492,0.1198703930939479,0.47,0.1149999999999999,False,0.384819290289503,0.8051460470040442,0.6152625475404542,0.1912893061363311,-28.90636141710809,0.6749950627212845,0.3616428644559787,0.2558928520238316,0.2558928520238316,0.3824642835201897,0.0,0.0,False,0.3616428644559787,0.4008615832354633,18.0,19.0,11.0,18.0,11.0,17.0,12.0,41.0,35.0,40.0,37.0,46.0,54.0,0.0
21,21,30031.0,0.9916372202890248,0.0398088419619677,-41.13132724124013,0.4355098058883639,0.4192994275685456,0.0577273775732475,0.1354486527771481,0.0167147252011115,0.135,0.0166666666666667,False,0.8478366220217404,0.8901527724791991,0.7180013349689711,0.1870261736494088,-35.49628106272491,0.0,0.2850000034813587,0.5513095189816157,0.5513095189816157,0.1636904775370256,0.0,0.0,False,0.2850000034813587,0.7710622680642798,24.0,14.0,14.0,11.0,19.0,12.0,19.0,56.0,15.0,46.0,39.0,32.0,55.0,2.0
22,22,30032.0,0.9871796501211048,0.0422644433555165,-40.29332780641265,0.2701993503997295,0.1916047471999004,0.1101124902185247,0.317785035752651,0.0109645908650678,0.26,0.01,False,0.6712503733822811,0.9666475944691557,0.5734070109135164,0.2076349282806962,-24.074538876439654,0.5294940313044054,0.468214292347417,0.2520833268306267,0.2520833268306267,0.2797023808219562,0.0,0.0,False,0.4682142923474172,0.47403178235717724,12.0,17.0,4.0,14.0,9.0,18.0,9.0,44.0,35.0,49.0,39.0,30.0,40.0,3.0
23,23,30033.0,0.9997528205022056,0.0071309160139381,-65.20641811446725,0.3607900995327894,0.3607900995327894,0.0587946851501435,0.0021579405029374,1.898391807153565e-05,0.0,0.0,False,0.9978230755789911,0.9912794776482239,0.8732966634974169,0.1179820635856207,-26.7378154523276,0.6165131195204285,0.8108505466823818,0.0001,0.0001,0.1890494533176182,0.0,0.0,False,0.8108505466823819,0.000528682469053087,6.0,12.0,12.0,15.0,7.0,26.0,0.0,26.0,49.0,35.0,43.0,52.0,44.0,7.0
24,24,30034.0,0.982623069479938,0.0507976304412095,-37.71867798481159,0.3227509842089405,0.2747529104659794,0.1169322464961165,0.2178306043989281,0.0025309046425109,0.1683333333333333,0.0,False,0.779638490958561,0.988514760796837,0.928021874125056,0.0977138423543905,-37.94111537508216,0.6014146843118907,0.538571430782874,0.1760952329763145,0.1760952329763145,0.2853333362408115,0.0,0.0,False,0.5385714307828741,0.3816305376909868,3.0,12.0,5.0,11.0,6.0,27.0,7.0,31.0,48.0,42.0,48.0,43.63636363636363,26.0,20.0
25,25,30035.0,0.9954715620640612,0.0271511350503685,-46.48870997565719,0.4622581102398886,0.4031246165952122,0.0979167451417732,0.2334938528508856,0.0031732956029525,0.2266666666666666,0.0,False,0.7633328515461618,0.9865917360153961,0.9810311553049598,0.0440780561240869,-46.473078089085256,0.7436053618625407,0.5864285783325514,0.0639285648024879,0.0639285648024879,0.3496428568649607,0.0,0.0,False,0.5864285783325514,0.1545768432082153,8.0,15.0,5.0,9.0,3.0,29.0,7.0,39.0,47.0,52.0,51.0,32.0,42.0,5.0
26,26,30036.0,0.9951411257953038,0.0276466109410907,-46.23552979855999,0.5094315803827207,0.4888857301111329,0.1108171147319654,0.14791820502273,0.0760368530811747,0.14,0.0666666666666667,False,0.7760449418960953,0.6604816442864303,0.8014820145547779,0.1670969808617317,-26.58573964113083,0.5867123047610852,0.6782142914216659,0.1020833299580881,0.1020833299580881,0.219702378620246,0.0,0.0,False,0.6782142914216659,0.3172400987262533,12.0,13.0,11.0,11.0,15.0,24.444444444444443,20.0,43.0,40.0,43.0,45.0,51.0,51.0,6.0
27,27,30037.0,0.9013427951903886,0.1287970289344888,-24.693245459994507,0.4086061548448047,0.3178122340432102,0.0761605572495246,0.3889322915205565,0.126873066875028,0.3866666666666666,0.1266666666666667,False,0.4841946416044156,0.7540291801743444,0.9356134775736158,0.0905668960569756,-33.65088027174871,0.6442794944573008,0.775905494898737,0.0001,0.0001,0.223994505101263,0.0,0.0,False,0.775905494898737,0.0004462403036380226,3.0,7.0,6.0,23.0,7.0,39.0,6.0,30.0,46.0,51.0,49.0,54.0,28.0,3.0
28,28,30039.0,0.9961799850409764,0.0315382831374507,-44.391743867302296,0.397312025409444,0.3607478983685857,0.0712259416436643,0.2393148291694981,0.0601486714825783,0.2366666666666667,0.06,False,0.7005364993479236,0.7991452335539869,0.9501499659996114,0.0859282608065287,-37.16525726168079,0.6424148646887071,0.6921428548123322,0.0553571415804801,0.0553571415804801,0.2525000036071876,0.0,0.0,False,0.6921428548123323,0.17981437964265778,15.0,18.0,10.0,16.0,12.0,15.0,25.0,53.0,31.0,41.0,47.0,31.0,59.0,2.0
29,29,30041.0,0.9976402016976272,0.01972731274879,-50.96051637302234,0.3612281687681949,0.336212220164459,0.1061681620019536,0.1801853537482872,0.0652343503593143,0.155,0.0633333333333332,False,0.7545802958923986,0.7341926941175309,0.9407657682298473,0.0971011458145651,-33.02205283755276,0.6668518585238541,0.7496417586757284,0.0001,0.0001,0.2502582413242716,0.0,0.0,False,0.7496417586757285,0.0003994276340616923,1.0,4.0,6.0,14.0,0.0,37.0,1.0,16.0,55.0,43.0,52.0,59.0,20.0,5.0
